Category,Title,MediaLocation,LocalMediaLocation,IsViewed
Al-Kitab Al-Asasi vol. 1,Lesson 1,https://www.youtube.com/watch?v=kQ0Mjg-Om94,,false
Al-Kitab Al-Asasi vol. 1,Lesson 2,https://www.youtube.com/watch?v=z18x8QvIJ5s,,false
Al-Kitab Al-Asasi vol. 1,Lesson 3,https://www.youtube.com/watch?v=GTF8aLVPASs,,false
Al-Kitab Al-Asasi vol. 1,Lesson 4,https://www.youtube.com/watch?v=9ZnyA5j9Dqs,,false
Al-Kitab Al-Asasi vol. 1,"Lesson 5, part a.",https://www.youtube.com/watch?v=G0AdU3x96Xg,,false
Al-Kitab Al-Asasi vol. 1,Lesson 5 part b.,https://www.youtube.com/watch?v=YVlUrwJxUzA,,false
Al-Kitab Al-Asasi vol. 1,Lesson 6,https://www.youtube.com/watch?v=9d8C_vxDIAA,,false
Al-Kitab Al-Asasi vol. 1,Lesson 7,https://www.youtube.com/watch?v=4WqIfRSAW0A,,false
Al-Kitab Al-Asasi vol. 1,Lesson 8,https://www.youtube.com/watch?v=uGMHppsoMH0,,false
Al-Kitab Al-Asasi vol. 1,Lesson 9,https://www.youtube.com/watch?v=-m3DQVD9BA8,,false
Al-Kitab Al-Asasi vol. 1,Lesson 10 part a.,https://www.youtube.com/watch?v=Evwr3JNP2aQ,,false
Al-Kitab Al-Asasi vol. 1,Lesson 10 part b.,https://www.youtube.com/watch?v=oigSWp3QODk,,false
Al-Kitab Al-Asasi vol. 1,Lesson 11,https://www.youtube.com/watch?v=s12ZYYmBp4A,,false
Al-Kitab Al-Asasi vol. 1,Lesson 12,https://www.youtube.com/watch?v=mQn38GJtsMg,,false
Al-Kitab Al-Asasi vol. 1,Lesson 13,https://www.youtube.com/watch?v=CrJoAy2F0B8,,false
Al-Kitab Al-Asasi vol. 1,Lesson 15,https://www.youtube.com/watch?v=SXlrHPo2LmI,,false
Al-Kitab Al-Asasi vol. 1,Lesson 16,https://www.youtube.com/watch?v=c8m8K9C7urY,,false
Al-Kitab Al-Asasi vol. 1,Lesson 17,https://www.youtube.com/watch?v=gpoc7YVDawM,,false
Al-Kitab Al-Asasi vol. 1,Lesson 18,https://www.youtube.com/watch?v=ZvNMXoj-u6w,,false
Al-Kitab Al-Asasi vol. 1,Lesson 19,https://www.youtube.com/watch?v=mVNVrbsJZGE,,false
Al-Kitab Al-Asasi vol. 1,Lesson 20,https://www.youtube.com/watch?v=6t7wc4cMjKA,,false
Al-Kitab Al-Asasi vol. 1,Lesson 21,https://www.youtube.com/watch?v=_DX8uMoDTMM,,false
Al-Kitab Al-Asasi vol. 1,Lesson 23,https://www.youtube.com/watch?v=iJ4jU316yTU,,false
Al-Kitab Al-Asasi vol. 1,Lesson 24,https://www.youtube.com/watch?v=R8DjS0D1SD0,,false
Al-Kitab Al-Asasi vol. 1,Lesson 24 part 2,https://www.youtube.com/watch?v=qVQZgtIDYf4,,false
Al-Kitab Al-Asasi vol. 1,Lesson 25,https://www.youtube.com/watch?v=OXH55b69xN8,,false
Qasasun Nabiyyin Vol. 1,Lesson 01,https://www.youtube.com/watch?v=JTh-w7vY8S4,,false
Qasasun Nabiyyin Vol. 1,Lesson 02,https://www.youtube.com/watch?v=2S9NjWV5J34,,false
Qasasun Nabiyyin Vol. 1,Lesson 03,https://www.youtube.com/watch?v=WM6kUwWwRDw,,false
Qasasun Nabiyyin Vol. 1,Lesson 04,https://www.youtube.com/watch?v=DeHUYM3poU0,,false
Qasasun Nabiyyin Vol. 1,Lesson 05,https://www.youtube.com/watch?v=2N4gjRhVhrk,,false
Qasasun Nabiyyin Vol. 1,Lesson 06,https://www.youtube.com/watch?v=-A6hC5aYt-Q,,false
Qasasun Nabiyyin Vol. 1,Lesson 07,https://www.youtube.com/watch?v=VjbKki2jSZ4,,false
Qasasun Nabiyyin Vol. 1,Lesson 08,https://www.youtube.com/watch?v=TLxTpc3JIXg,,false
Qasasun Nabiyyin Vol. 1,Lesson 09,https://www.youtube.com/watch?v=Tv6viEBoBqY,,false
Qasasun Nabiyyin Vol. 1,Lesson 10,https://www.youtube.com/watch?v=6R3-Ehh_8aA,,false
Qasasun Nabiyyin Vol. 1,Lesson 11,https://www.youtube.com/watch?v=2Bv7CeeM6BA,,false
